categoria,nombre,slug,sku,CODIGO,MEDIDAS,EAN13,DUN14,EMPAQUE,COMPOSICION,descripcion,imagen_local,imagen_url,permalink
BALDES,Balde escurridor,balde-escurridor,81905-406,81905-406,,,17790927819051,6 unidades,,BALDE CON ESCURRIDOR | Súper resistente · Práctico y cómodo | Con escurridor de mopas | Limpiá sin necesidad de agacharte ni ensuciarte las manos. | CAPACIDAD 16 litros | EAN 7790927819054,balde-escurridor/img_1.jpg,https://www.medianaranja.com.ar/wp-content/uploads/2020/08/medianaranja_balde.jpg,https://www.medianaranja.com.ar/producto/balde-escurridor/
CABOS,Cabo,cabo,81502-412,81502-412,120 cm (Standard),,17790927815029,12 unidades,,CABO METÁLICO RECUBIERTO | Ideal para sujetar mopas y secadores | Práctico gancho de colgar | Posee rosca standard inferior | EAN 7790927815025,cabo/img_1.jpg,https://www.medianaranja.com.ar/wp-content/uploads/2017/10/MediaNaranja_cabo.jpg,https://www.medianaranja.com.ar/producto/cabo/
FRANELAS,Triple Frisado,triple-frisado,81324,81324,45X50cm,7790927813243,17790927813240,Fardos de 50 unidades,98.5% algodón + 1.5% poliéster,FRANELAS | TRIPLE FRISADO | Atrapa mejor la suciedad. | Recomendado para darle brillo a muebles y objetos de cuero.,triple-frisado/img_1.jpg,https://www.medianaranja.com.ar/wp-content/uploads/2021/07/MediaNaranja_Franela.jpg,https://www.medianaranja.com.ar/producto/franela/
MICROFIBRAS,Lava Autos,lava-autos,81422,81422,50X60cm,7790927814226,17790927814223,Cajas de 10 unidades,80% poliéster + 20% poliamida,"MICROFIBRAS | LAVA AUTOS | Super absorbente • Ultra resistente • No raya • No deja vetas | Ideal para el lavado y secado de la carrocería de tu auto. Gracias a su exclusiva composición remueve la suciedad y absorbe, dejando tu auto limpio con menos esfuerzo y sin dejar marcas.",lava-autos/img_1.jpg,https://www.medianaranja.com.ar/wp-content/uploads/2020/11/MediaNaranja_microfibra_lava_autos.jpg,https://www.medianaranja.com.ar/producto/microfibras-lava-autos/
MICROFIBRAS,1000USOS,1000usos,81423,81423,30X30cm (c/u),7790927814233,17790927814230,Presentación en bolsa de 10 packs.,80% poliéster + 20% algodón,"MICROFIBRAS | 1000USOS | Un paño para cada ambiente • Máxima suavidad. | La misma calidad de siempre en un pack económico que contiene 3 microfibras, brindan la capacidad de limpiar sólo con agua y sin dejar pelusa.",1000usos/img_1.jpg,https://www.medianaranja.com.ar/wp-content/uploads/2017/10/MediaNaranja_1000usos-1.jpg,https://www.medianaranja.com.ar/producto/microfibras-1000usos/
MICROFIBRAS,Tecnológica,tecnologica,81419,81419,25X35cm,7790927814196,17790927814193,Cajas de 10 unidades,80% poliéster + 20% poliamida,"MICROFIBRAS | TECNOLÓGICA | Mayor cuidado • No raya • Ultra resistente | Ideal para la limpieza en seco de todo tipo de productos tecnológicos. La microfibra atrae las partículas por estática, sin rayar ni dejar vetas en las superficies..",tecnologica/img_1.jpg,https://www.medianaranja.com.ar/wp-content/uploads/2017/10/MediaNaranja_MicroTecno.jpg,https://www.medianaranja.com.ar/producto/microfibras-tecnologica/
MICROFIBRAS,Pisos,pisos,81421,81421,48X60cm,7790927814219,17790927814216,Cajas de 5 unidades,80% poliéster + 20% poliamida.,MICROFIBRAS | PISOS | No deja rastros • No acumula olores • Ultra resistente | Todas las virtudes de la microfibra en un tamaño ideal para limpiar el piso. Absorbe el agua de una sola pasada y remueve las manchas fácilmente.,pisos/img_1.jpg,https://www.medianaranja.com.ar/wp-content/uploads/2020/11/MediaNaranja_microfibra_pisos.jpg,https://www.medianaranja.com.ar/producto/microfibras-pisos/
MICROFIBRAS,Vidrios,vidrios,81416,81416,40X40cm,7790927814165,17790927814162,Cajas de 10 unidades,80% poliéster + 20% poliamida,MICROFIBRAS | VIDRIOS | Ultra resistente • Sin Vetas • Sin esfuerzos • No raya | Ideal para la limpieza de vidrios y superficies espejadas. La microfibra atrapa las partículas sin rayar ni dejar vetas.,vidrios/img_1.jpg,https://www.medianaranja.com.ar/wp-content/uploads/2020/11/MediaNaranja_microfibra_vidrios.jpg,https://www.medianaranja.com.ar/producto/microfibras-vidrios/
MICROFIBRAS,Lustradora,lustradora,914060,914060,40X40cm,7798136921438,37798136921439,Cajas de 10 unidades,80% poliéster + 20% poliamida,"MICROFIBRAS | LUSTRADORA | No raya • No deja vetas | Deja tus superficies de madera más brillantes sin esfuerzo. La microfibra atrapa las partículas de una sola pasada, haciendo la limpieza más fácil.",lustradora/img_1.jpg,https://www.medianaranja.com.ar/wp-content/uploads/2017/10/MediaNaranja_MicroLustradora.jpg,https://www.medianaranja.com.ar/producto/microfibras-lustradora/
MICROFIBRAS,Multiuso,multiuso,81417,81417,35X40cm,7790927814172,17790927814179,Cajas de 10 unidades,80% poliéster + 20% poliamida,MICROFIBRAS | MULTIUSO | Super absorbente •  No acumula olores •  Ultra resistente. | Imprescindible para tener siempre a mano tanto en la cocina como en el baño. Remueve la suciedad sólo con agua y es super absorbente.,multiuso/img_1.jpg,https://www.medianaranja.com.ar/wp-content/uploads/2017/10/MediaNaranja_MicroMultiuso.jpg,https://www.medianaranja.com.ar/producto/microfibras-multiuso/
MOPAS,Blanca Microfibra,blanca-microfibra,381903-212,381903-212,23cm,7798136921377,17798136921374,12 unidades,Microfibra blanca,MOPAS | MICROFIBRA | Fácil de usar • Ultra resistente | Limpia sin esfuerzos hasta los rincones más difíciles sin la necesidad de agacharte ni ensuciarte las manos.,blanca-microfibra/img_1.jpg,https://www.medianaranja.com.ar/wp-content/uploads/2020/08/MediaNaranja_MopaMicrofibra.jpg,https://www.medianaranja.com.ar/producto/mopa-microfibra/
MOPAS,Algodón Blanca,algodon-blanca,381902-212,381902-212,23cm,7798136921476,37798136921477,12 unidades,100 % algodón,MOPAS | ALGODÓN BLANCO | Fácil de usar • Ultra resistente •  Puro algodón | Limpia hasta los rincones más difíciles sin la necesidad de agacharte ni ensuciarte las manos.,algodon-blanca/img_1.jpg,https://www.medianaranja.com.ar/wp-content/uploads/2017/10/MediaNaranja_MopaBlancaAlgodon.jpg,https://www.medianaranja.com.ar/producto/mopa-algodon-blanco/
PAÑOS AMARILLOS,Pisos,pisos,81714,81714,50X57cm,7790927817142,1779092787149,Caja de 18 unidades,70% viscosa + 20% polipropileno + 10% poliéster,PAÑOS AMARILLOS | PISOS | Super absorbente • Resistente • No deja pelusa. | Ideal para pisos y grandes superficies. Lavable en el lavarropas.,pisos/img_1.jpg,https://www.medianaranja.com.ar/wp-content/uploads/2017/10/MediaNaranja_amarilloPisos.jpg,https://www.medianaranja.com.ar/producto/panos-amarillos-piso/
