seccion,categoria,nombre,handle,precio,precio_lista,precio_transferencia,talles,colores,sku_base,n_variantes,n_fotos,descripcion,url
bano,alfombras,Alfombra Band (50x90cm) - Línea Essentials,alfombra-band-50x90cm-linea-essentials,29285.71,31538.46,"$20.500,00",Único: 50x90cm,Blanco | Gris | Visón,7798136923234,3,4,"Alfombra Band línea Essentials Alfombra de baño. Renová tu hogar con nuestra alfombra Lines confeccionada 100% en microfibra, de alta calidad. Su diseño mullido y base antideslizante la convierten en el complemento ideal para el confort y seguridad de tu baño. → Textil súper absorbente → Base antideslizante → Suave, mullida y resistente Una alfombra que merece ser tu Media Naranja ? - Fotos illustrativas -",https://www.medianaranja.store/productos/alfombra-band-50x90cm-linea-essentials/
bano,alfombras,Alfombra Lines (40x60cm) - Línea Essentials,alfombra-lines-40x60cm-linea-essentials,17428.57,18769.23,"$12.200,00",Único: 40x60cm,Gris claro | Gris oscuro | Lila,7798136923197,3,4,"Alfombra Lines línea Essentials Alfombra de baño rayada. Renová tu hogar con nuestra alfombra Lines confeccionada en chenille, de estilo bicolor. Su diseño mullido y base antideslizante la convierten en el complemento ideal para el confort y seguridad de tu baño. → Textil absorbente → Base antideslizante → Suave, mullida y resistente Una alfombra que merece ser tu Media Naranja ? - Fotos illustrativas -",https://www.medianaranja.store/productos/alfombra-lines-40x60cm-linea-essentials/
bano,toallas,Toallón Infinite 500 gr/m²- Línea Excellence,toallon-infinite-500-gr-m-linea-excellence-q60ct,27000,29076.92,"$18.900,00",Toallón: 70 x 140cm,Azul | Blanco | Bordó | Tormenta,7798136924392,4,1,"Toallón Infinite 500 gr/m² línea Excellence Los toallones de baño Infinite se destacan por su mayor cuerpo de absorbcion. Confeccionados con 100% algodón y un gramaje de 500 GR/M2. Brindan un equilibrio ideal entre confort, suavidad y rendimiento. Medida: 70 x 140cm. ¡Complementalo con la Toalla Infinite! → Mas cuerpo, mas confort. → Confección de 500 gr/m² - 100% algodón. → Suavidad extra en cada contacto. Un toallón que merece ser tu Media Naranja ? - Fotos illustrativas - Hilado Ringspun: cal",https://www.medianaranja.store/productos/toallon-infinite-500-gr-m-linea-excellence-q60ct/
bano,toallas,Toalla Infinite 500 gr/m² - Línea Excellence,toalla-infinite-500-gr-m-linea-excellence-ih8r4,12142.86,13076.92,"$8.500,00",Toalla: 45 x 80cm,Azul | Blanco | Bordó | Tormenta,7798136924415,4,1,"Toalla Infinite 500 gr/m² línea Excellence Las Toallas de rostro Infinite están confeccionadas con 100% algodón, con un gramaje de 500 GR/M2. Ofrecen una textura más suave y envolvente, con excelente capacidad de absorción para una experiencia superior en cada uso. Medida: 45 x 80 cm ¡Complementalo con la Toallón Infinite! → Mas cuerpo, mas confort. → Confección de 500 gr/m² - 100% algodón. → Suavidad extra en cada contacto. Una toalla que merece ser tu Media Naranja ? - Fotos illustrativas - Hi",https://www.medianaranja.store/productos/toalla-infinite-500-gr-m-linea-excellence-ih8r4/
bano,toallas,Toalla Hotelera Deluxe 630 gr/m² - Línea Excellence,toalla-hotelera-deluxe-630-gr-m-linea-excellence,16285.71,17538.46,"$11.400,00",Toalla: 50x90cm,Blanco | Negro | Tormenta | Visón,7798136925740,4,5,"Toalla Hotelera Deluxe 630 gr/m² línea Excellence Toalla de rostro hotelera luxury. Disfrutá la suavidad y absorción real de nuestra Toalla Deluxe. Confeccionada con hilado Ringspun + 100% Algodón Real ofrece: mayor resistencia, suavidad y extra absorción superior. Su gramaje de 630 GSM (gramos por metro cuadrado) aporta una densidad luxury propia de la hotelería de lujo: toalla más gruesa, suave y altamente absorbente, que transforma cada uso en una experiencia de spa auténtica. ¡Complementala ",https://www.medianaranja.store/productos/toalla-hotelera-deluxe-630-gr-m-linea-excellence/
bano,toallas,Toallón Galaxy 400 gr/m² - Línea Essentials,toallon-galaxy-400-gr-m-linea-essentials-9r9dc,18285.71,19692.31,"$12.800,00",Toallón: 70 x 140cm,Azulino | Blanco | Rosa | Tormenta | Verde,7798136925955,5,1,"Toallón Galaxy 400 gr/m² línea Essentials Los Toallones de baño Galaxy son ligeros y absorbentes. Con 100% algodón y un gramaje de 400 GR/M2. Brindan un balance entre tamaño práctico y absorción eficiente, pensados para el día a día. Medida 70 x 140cm ¡Complementalo con la Toalla Galaxy! → Calidad premium de uso diario → Confección de 400 gr/m² - 100% algodón → Práctico, absorbente y duradero Un toallón que merece ser tu Media Naranja ? - Fotos illustrativas - Hilado: calidad asegurada. - Mayor ",https://www.medianaranja.store/productos/toallon-galaxy-400-gr-m-linea-essentials-9r9dc/
bano,toallas,Toalla Premium Royale 600 gr/m² - Línea Essentials,toalla-premium-royale-600-gr-m-linea-essentials,13571.43,14615.38,"$9.500,00",Toalla: 50x80cm,Blanco | Negro | Tormenta | Visón,7798136925825,4,5,"Toalla Premium Royale 600 gr/m² línea Essentials Toalla de rostro premium. Disfrutá la practicidad, suavidad y absorción de nuestra Toalla Royale. Confeccionada con hilado Ringspun + 100% Algodón Real asegura: resistencia, suavidad y absorción superior. Su gramaje de 600 GSM (gramos por metro cuadrado) aporta una densidad premium propia para el uso diario: toalla duradera, suave y altamente absorbente, que transforma cada uso en una experiencia de Lujo Real. ¡Complementala con el Toallón Royale!",https://www.medianaranja.store/productos/toalla-premium-royale-600-gr-m-linea-essentials/
bano,toallas,Toallón Premium Royale 600 gr/m² - Línea Essentials,toallon-premium-royale-600-gr-m-linea-essentials,35857.14,38615.38,"$25.100,00",Toallón: 78x140cm,Blanco | Negro | Tormenta | Visón,7798136925863,4,5,"Toallón Premium Royale 600 gr/m² línea Essentials Toallón de baño premium. Disfrutá la practicidad, suavidad y absorción de nuestro Toallón Royale. Confeccionado con hilado Ringspun + 100% Algodón Real asegura: resistencia, suavidad y absorción superior. Su gramaje de 600 GSM (gramos por metro cuadrado) aporta una densidad premium propia para el uso diario: toallón duradero, suave y altamente absorbente, que transforma cada uso en una experiencia de Lujo Real. ¡Complementalo con la Toalla Royale",https://www.medianaranja.store/productos/toallon-premium-royale-600-gr-m-linea-essentials/
bano,toallas,Toalla Galaxy 400 gr/m² - Línea Essentials,toalla-galaxy-400-gr-m-linea-essentials-jammk,8142.86,8769.23,"$5.700,00",Toalla: 45 x 80cm,Azulino | Blanco | Rosa | Tormenta | Verde,7798136926013,5,1,"Toalla Galaxy 400 gr/m² línea Essentials Las Toallas de rostro Galaxy están confeccionadas con 100% algodón, con un gramaje de 400 GR/M2. Son livianas, suaves y absorbentes, ideales para el uso diario y una rutina práctica y confortable. Medida 45 x 80cm ¡Complementalo con la Toallón Galaxy! → Calidad premium de uso diario → Confección de 400 gr/m² - 100% algodón → Práctico, absorbente y duradero Una toalla que merece ser tu Media Naranja ? - Fotos illustrativas - Hilado: calidad asegurada. - Ma",https://www.medianaranja.store/productos/toalla-galaxy-400-gr-m-linea-essentials-jammk/
bano,toallas,Toallón Hotelero Deluxe 630 gr/m²- Línea Excellence,toallon-hotelero-deluxe-630-gr-m-linea-excellence,48000,51692.31,"$33.600,00",Toallón: 85x165cm,Blanco | Negro | Tormenta | Visón,7798136925788,4,5,"Toallón Hotelero Deluxe 630 gr/m² línea Excellence Toallón de baño hotelero luxury. Disfrutá la suavidad y absorción real de nuestro Toallón Deluxe. Confeccionado con hilado Ringspun + 100% Algodón Real ofrece: mayor resistencia, suavidad y extra absorción superior. Su gramaje de 630 GSM (gramos por metro cuadrado) aporta una densidad luxury propia de la hotelería de lujo: toallón más grueso, suave y altamente absorbente, que transforma cada uso en una experiencia de spa auténtica. ¡Complemental",https://www.medianaranja.store/productos/toallon-hotelero-deluxe-630-gr-m-linea-excellence/
